forecast,condition,group,policy,mean_cost,q95,q99,es95,maximum_cost,positive_excess,worse_fraction,guard_acceptance,crew_completion_fraction,crew_mean_completion_h,crew_total_travel_h,communication_loss,raw_infeasible_hours,infeasible_hours,curtailed_energy_kwh
weekly,matrix_noise_015,published,matched,525.9187230686948,1654.0553245544427,2900.0726213073713,2352.057247519492,3931.910400390625,0.0,0.0,0.0,0.8326538204690848,2.8442170665675315,1.7214518229166667,84.16626492493015,0,0,0.0
weekly,matrix_noise_015,published,central,525.1500561223332,1654.0553245544427,2900.0726213073713,2351.015520155429,3931.910400390625,0.3171567743913565,0.11328125,0.0,0.8341055880055097,2.8258198784609068,1.7246744791666666,83.98673563895136,0,0,0.0
weekly,matrix_noise_015,published,robust,525.926793047171,1654.0553245544427,2900.0726213073713,2351.1718950271597,3931.910400390625,0.9769759317828566,0.1298828125,0.0,0.83438490021671,2.83452564342245,1.7170572916666667,84.16667777861585,0,0,0.0
weekly,matrix_noise_015,published,protected_0.001,525.3624124747605,1654.0553245544427,2900.0726213073713,2350.6041947603217,3931.910400390625,0.040905153795892525,0.015625,0.068359375,0.8330093667487676,2.839067258873546,1.7204427083333333,84.03963549385298,0,0,0.0
weekly,matrix_noise_015,independent,matched,498.81958591141296,1557.7771133422848,2779.7001489257805,2280.646452575921,3785.187744140625,0.0,0.0,0.0,0.8251216982299331,3.0084981138214957,1.7458170572916667,77.33745115643615,0,0,0.0
weekly,matrix_noise_015,independent,central,498.7362549217528,1557.7771133422848,2779.7001489257805,2280.62622603774,3785.187744140625,0.14370157423067267,0.0966796875,0.0,0.8280140594821078,2.975418928723999,1.7411783854166667,77.31755329592488,0,0,0.0
weekly,matrix_noise_015,independent,robust,498.87219334003134,1557.7771133422848,2779.7001489257805,2281.6865801513186,3833.2039489746094,0.3113623442653691,0.08203125,0.0,0.8280285623042277,2.9798970567140053,1.7404459635416667,77.37319061776361,0,0,0.0
weekly,matrix_noise_015,independent,protected_0.001,498.73738958213534,1557.7771133422848,2779.7001489257805,2280.646452575921,3785.187744140625,0.028039169248529436,0.0146484375,0.0390625,0.8258875547806375,3.000634704386285,1.7451334635416667,77.32411891178708,0,0,0.0
weekly,matrix_noise_015,independent,observed,498.94852862356134,1557.7771133422848,2779.7001489257805,2280.7786643207064,3785.187744140625,0.31560789450344484,0.09765625,0.0,0.8277051395210538,2.976955671581513,1.7415852864583332,77.33046615729108,0,0,0.0
weekly,expanded_unsupported,published,matched,649.7343535670354,1967.8531166076655,3136.0124890136713,2678.978920578956,4550.527587890625,0.0,0.0,0.0,0.8325066784762396,2.8442520406898835,1.7187825520833333,109.32241302244074,0,0,0.0
weekly,expanded_unsupported,published,central,649.9882677004325,1960.633391571044,3136.0124890136713,2678.1406627297392,4550.527587890625,1.8486584843412326,0.1572265625,0.0,0.8347152819501646,2.8120938962200914,1.7250162760416667,109.44054965430041,0,0,0.0
weekly,expanded_unsupported,published,robust,648.7602837645899,1960.633391571044,3137.3117630004876,2679.9429423809042,4521.022338867188,0.8899142441330314,0.1201171875,0.0,0.8349095148526527,2.8256648438893444,1.7166829427083332,109.11790637709055,0,0,0.0
